title,link,pubDate
சீன நிறுவனங்களுடன் அதானி கூட்டு ஹிண்டர்பர்க் டு ராகுல் வரை சர்ச்சையும் முழுப் பின்னணியும்,https://www.vikatan.com/government-and-politics/politics/adani-partnership-with-chinese-companies-hinderburg-to-rahul-gandhi-controversy-and-full-background,"Wed, 12 Apr 2023 07:50:55 +0000"
வயது சிறுமி எதற்காகத் தெரியுமா,https://www.vikatan.com/trending/us-12-year-old-girl-takes-his-fathers-car-and-ran-away-640-km,"Tue, 11 Apr 2023 13:22:53 +0000"
ஹிஜாப் அணிவதைக் கண்காணிக்க கேமரா தவறினால் சட்ட நடவடிக்கை இரான் அரசு அறிவிப்பு,https://www.vikatan.com/gender/rights/iran-installs-cameras-to-find-women-not-wearing-hijab,"Tue, 11 Apr 2023 07:54:23 +0000"
இந்தியாவில் இஸ்லாமியர்களுக்கு எதிராக வன்முறையா அமெரிக்காவில் நிர்மலா சீதாராமன் விளக்கம்,https://www.vikatan.com/government-and-politics/politics/muslims-in-india-nirmala-sitharaman-on-negative-western-perception,"Tue, 11 Apr 2023 07:35:08 +0000"
சீன மணப்பெண் கடலூர் மணமகன் கடலூரில் கலகல காதல் திருமணம்,https://www.vikatan.com/trending/a-cuddalore-youth-married-a-chinese-woman-according-to-hindu-customs,"Mon, 10 Apr 2023 15:19:17 +0000"
அருணாச்சலப் பிரதேசத்துக்குச் சென்ற அமித் ஷா எச்சரித்த சீனா காரணம் என்ன,https://www.vikatan.com/government-and-politics/politics/china-opposes-amit-shahs-arunachal-visit-days-after-renaming-11-areas,"Mon, 10 Apr 2023 15:14:46 +0000"
விசா கட்டணத்தை உயர்த்திய அமெரிக்கா கல்வி சுற்றுலா பணிக்குச் செல்ல இனி எவ்வளவு செலவாகும்,https://www.vikatan.com/government-and-politics/economy/america-increases-tourist-and-student-visa-cost,"Mon, 10 Apr 2023 11:14:12 +0000"
எங்கள் தாய்மண்ணைக் காக்கப் போராடுகிறோம் சுற்றிவளைக்கும் சீனாவுக்கு தைவான் பதில்,https://www.vikatan.com/government-and-politics/governance/we-are-fighting-with-all-our-heart-to-defend-our-homeland-taiwan-said-to-china,"Sun, 09 Apr 2023 14:22:25 +0000"
உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-09-04-2023,"Sun, 09 Apr 2023 10:44:23 +0000"
விருது பெற்ற மாமியாருக்கு பிரிட்டன் பிரதமர் வாழ்த்து ரஷ்ய ரூபிளின் மதிப்பு சரிவு உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-08-04-23,"Sat, 08 Apr 2023 07:47:40 +0000"
ஆண்டுகளுக்குப் பின் பிறந்த பெண் குழந்தை கொண்டாட்டத்தில் அமெரிக்க குடும்பம்,https://www.vikatan.com/trending/viral/us-family-welcomes-first-daughter-born-in-over-138-years,"Sat, 08 Apr 2023 07:23:07 +0000"
சீன எச்சரிக்கையைக் கண்டுகொள்ளாத தைவான் சீனாவின் போர் ஒத்திகையால் எல்லையில் உச்சகட்ட பதற்றம்,https://www.vikatan.com/government-and-politics/politics/china-announces-drills-around-taiwan-after-us-speaker-meeting,"Sat, 08 Apr 2023 06:26:16 +0000"
,https://www.vikatan.com/government-and-politics/politics/ananda-vikatan-nambikkai-awards-soon-4-wheelers-with-lithium-battery-will-run-on-our-roads-dr-kalaiselvi,"Fri, 21 Apr 2023 11:05:15 +0000"
மன்னிப்புக் கேட்க முடியாது ஆர்எஸ்பாரதி வக்கீல் நோட்டீஸுக்கு அண்ணாமலை தரப்பு பதில்,https://www.vikatan.com/government-and-politics/politics/annamalais-response-to-rs-bhartis-notice-over-the-dmk-files-issue,"Fri, 21 Apr 2023 10:57:08 +0000"
எங்க நிலைமை யாருக்கும் வரக்கூடாது கதறிய கோகுல் ராஜ் அம்மா கலங்கிய திருமாவளவன்,https://www.vikatan.com/government-and-politics/judiciary/ppa-mohan-speech-at-ananda-vikatan-nambikkai-awards-2021-2022,"Fri, 21 Apr 2023 10:48:45 +0000"
பூத் கமிட்டி விவகாரத்தை நானே நேரடியாகக் கவனிப்பேன் கறார் காட்டும் எடப்பாடி பின்னணி என்ன,https://www.vikatan.com/government-and-politics/governance/eps-advices-to-aiadmk-district-secretaries-about-booth-committee,"Fri, 21 Apr 2023 10:32:42 +0000"
சென்னையில் விபி சிங் சிலை யார் இந்த விபிசிங் தமிழக அரசின் முடிவுக்குக் காரணம் என்ன,https://www.vikatan.com/government-and-politics/politics/about-vp-singh-contribution-to-social-justice-in-india,"Fri, 21 Apr 2023 10:09:47 +0000"
பாஜகவை பதம் பார்த்ததா இட ஒதுக்கீடு தனித் தீர்மானம் திமுக நகர்வின் பின்னணி என்ன,https://www.vikatan.com/government-and-politics/governance/is-the-separate-resolution-by-dmk-for-reservation-attacked-bjp,"Fri, 21 Apr 2023 09:37:45 +0000"
